conversation_id,message,sentiment
3, Oh yeah I didn't know that either. I also want to go to google Plex to see the goats who mow their lawn by eating it., Surprised
3, say what now?? they have that??, Surprised
3, Yeah apparently lol! They do that instead of hiring people to mow!, Happy
3, thats both funny and i guess imaginative. leave it to a huge tech company to employ actual goats!, Surprised
3, Yeah exactly I am sure they are cheaper. One thing I bet they couldn't exploit is fish. I think fish are so cool there is actually a breed of jellyfish that is immortal., Surprised
3, i had rememered hearing about that before. Immortatlity is wasted on a jellyfish haha. did you know a seahorse is the only fish that has an actual neck?, Neutral
3, That is so funny I guess I never considered a seahorse a fish. The black swallower fish sounds a lot like a snake because it can eat pray that is so large., Surprised
3, i guess they live up to their name then!, Surprised
3, It seems they do. I also didn't know that there was a difference with how freshwater and saltwater fish drink., Surprised
3, thats crazy. i wonder why fresh water ones only use osmosis? , Neutral
3, Yeah and saltwater fish are lucky because they can do that and drink through their mouth's., Curious to dive deeper
3, seems like fresh water fish got the short end of the stick with that one. Have you ever been to a cat cafe?, Curious to dive deeper
3," I have never been to a cat cafe no, what about you? Seems like they are popular in Japan and Taiwan.", Curious to dive deeper
3, no but I would love to! paying hourly to hang out with adorable cats? im in!, Happy
3, Yeah that would be a lot of fun. I didn't realize that cats sleep so much. Must be nice., Surprised
3," i guess thats where the phrase ""cat nap"" comes from", Happy
3, Oh yeah I guess so ha ha. There's even a town in Alaska that has a mayor cat., Surprised
4, Hi!  do you like to dance?, Neutral
4, I love to dance a lot. How about you?, Happy
4," I am really bad, but it is a good time.", Neutral
4, Dancing is a lot of fun. Did you know that Bruce Lee was a great dancer?, Happy
4," I heard that, winning Cha Cha championships and everything!", Surprised
4, Yes that is amazing. He won the Hong Kong cha-cha championship back in 1958 in fact., Surprised
4, I always just thought of him as a martial arts legend.  Now he is a dance legend of sorts too!, Neutral
4, Yeah!! That is correct. He was a fantastic martial artist. Did you know that Tupac danced ballet in high school?, Curious to dive deeper
4," Yeah!  He was the mouse king in the Nutcracker.  Thats pretty cool, I would definitely never have guessed that about him.", Neutral
4, Neither did I. That is insane because Tupac was a famous rapper. , Surprised
4," He was indeed, his music is even in the library of congress.", Neutral
4, I didn't know this thanks for sharing., Surprised
4, Sure thing!  Did you hear about Michael Jackson's special patent shoes?, Curious to dive deeper
4, No. I know that Michael Jackson was a fantastic dancer but can you tell me more about his patent shoes if you don't mind., Curious to dive deeper
4, There was a specific device in his shoes that helped with his extreme lean in some dance moves., Curious to dive deeper
4, Wow!!! That is amazing coming from such a talented singer and dancer. I couldn't even dance like that even if I dreamed of it., Surprised
4, Me neither. I could never be a professional dancer., Neutral
4, I heard that some professional ballet dancer can go through four pairs of shoes in a week., Surprised
4, That is crazy!  That can't be cheap for them., Surprised
4, No. I think its very expensive for them to be professional ballet dancers based on this., Neutral
4," It has been great chatting but I must go!  Gotta go get my Bruce Lee on, the martial arts part...  definitely not the dance.", Neutral
4, Ha Ha!!! It was so nice chatting with you as well!! Have a nice day!!! Bye, Happy
4, Bye, Neutral
5, do you like dance?, Curious to dive deeper
5, I love it. Did you know Bruce Lee was a dancer?, Curious to dive deeper
5, Yes he even won a cha cha championship in 1958, Curious to dive deeper
5, Yeah. Did you know ballet dancers use a lot of shoes?, Curious to dive deeper
5, Yes they go through 4 pairs in a single week, Curious to dive deeper
5, Yeah that is a lot of shoes and also a lot of money, Curious to dive deeper
5, Yeah. Babies are also really good at dancing when they hear music, Curious to dive deeper
5, Yes and they smile more when they hit the beat, Curious to dive deeper
5, Yeah pretty cute. Did you know Tupac was a ballet dancer?, Curious to dive deeper
5, Yes he was in the nutcracker as the mouse king, Curious to dive deeper
5, Yeah. DO you like SHakespeare?, Curious to dive deeper
5, I love his work. Did you know he popularized many terms that we use to this day?, Curious to dive deeper
5," Yes terms like, good riddance, in my heart of heart and such", Curious to dive deeper
